"Index","AVID.Close"
2012-08-01,8.21
2012-08-02,7.76
2012-08-03,8.05
2012-08-06,8.57
2012-08-07,8.75
2012-08-08,8.58
2012-08-09,8.41
2012-08-10,8.62
2012-08-13,8.64
2012-08-14,8.44
2012-08-15,8.56
2012-08-16,9.09
2012-08-17,9.05
2012-08-20,8.93
2012-08-21,9.01
2012-08-22,9.09
2012-08-23,9.18
2012-08-24,9.11
2012-08-27,9.27
2012-08-28,9.39
2012-08-29,9.49
2012-08-30,9.26
2012-08-31,9.21
2012-09-04,9.37
2012-09-05,9.41
2012-09-06,9.62
2012-09-07,9.56
2012-09-10,9.37
2012-09-11,9.6
2012-09-12,9.62
2012-09-13,9.68
2012-09-14,9.83
2012-09-17,9.9
2012-09-18,9.94
2012-09-19,9.95
2012-09-20,9.57
2012-09-21,9.76
2012-09-24,9.62
2012-09-25,9.52
2012-09-26,9.29
2012-09-27,9.65
2012-09-28,9.46
2012-10-01,9.54
2012-10-02,9.55
2012-10-03,9.51
2012-10-04,9.51
2012-10-05,9.61
2012-10-08,9.78
2012-10-09,9.43
2012-10-10,9.3
2012-10-11,9.2
2012-10-12,8.87
2012-10-15,8.88
2012-10-16,8.86
2012-10-17,8.82
2012-10-18,8.55
2012-10-19,8.17
2012-10-22,6.69
2012-10-23,6.59
2012-10-24,6.25
2012-10-25,6.17
2012-10-26,6.02
2012-10-31,5.87
2012-11-01,6.06
2012-11-02,6.32
2012-11-05,6.3
2012-11-06,6.41
2012-11-07,6.15
2012-11-08,6.14
2012-11-09,6.13
2012-11-12,6.13
2012-11-13,6.18
2012-11-14,6.09
2012-11-15,6.07
2012-11-16,5.97
2012-11-19,6.06
2012-11-20,6.05
2012-11-21,6.28
2012-11-23,6.54
2012-11-26,6.42
2012-11-27,6.48
2012-11-28,6.38
2012-11-29,6.58
2012-11-30,6.53
2012-12-03,6.66
2012-12-04,6.8
2012-12-05,6.77
2012-12-06,6.7
2012-12-07,6.7
2012-12-10,6.83
2012-12-11,7.01
2012-12-12,7.02
2012-12-13,7.35
2012-12-14,7.42
2012-12-17,7.3
2012-12-18,7.45
2012-12-19,7.48
2012-12-20,7.69
2012-12-21,7.64
2012-12-24,7.58
2012-12-26,7.56
2012-12-27,7.68
2012-12-28,7.4
2012-12-31,7.58
2013-01-02,7.99
2013-01-03,7.87
2013-01-04,7.82
2013-01-07,7.66
2013-01-08,7.58
2013-01-09,7.74
2013-01-10,7.55
2013-01-11,7.55
2013-01-14,7.44
2013-01-15,7.4
2013-01-16,7.39
2013-01-17,7.63
2013-01-18,7.49
2013-01-22,7.4
2013-01-23,7.31
2013-01-24,7.37
2013-01-25,7.27
2013-01-28,7.19
2013-01-29,7.32
2013-01-30,7.29
2013-01-31,7.4
2013-02-01,7.71
2013-02-04,7.42
2013-02-05,7.45
2013-02-06,7.62
2013-02-07,7.58
2013-02-08,7.53
2013-02-11,7.87
2013-02-12,7.82
2013-02-13,7.86
2013-02-14,7.95
2013-02-15,7.89
2013-02-19,7.72
2013-02-20,7.65
2013-02-21,7.62
2013-02-22,7.66
2013-02-25,6.98
2013-02-26,6.9
2013-02-27,6.85
2013-02-28,6.93
2013-03-01,6.7
2013-03-04,6.69
2013-03-05,6.54
2013-03-06,6.72
2013-03-07,6.72
2013-03-08,6.85
2013-03-11,6.95
2013-03-12,6.96
2013-03-13,6.98
2013-03-14,6.91
2013-03-15,6.99
2013-03-18,6.96
2013-03-19,6.85
2013-03-20,6.94
2013-03-21,6.82
2013-03-22,6.56
2013-03-25,6.7
2013-03-26,6.68
2013-03-27,6.4
2013-03-28,6.27
2013-04-01,6.47
2013-04-02,6.84
2013-04-03,6.24
2013-04-04,6.18
2013-04-05,6.25
2013-04-08,6.19
2013-04-09,6.21
2013-04-10,6.51
2013-04-11,6.49
2013-04-12,6.37
2013-04-15,6.17
2013-04-16,6.18
2013-04-17,6.02
2013-04-18,6.19
