"Index","ACGL.Close"
2010-10-27,28.95
2010-10-28,28.99
2010-10-29,28.8
2010-11-01,29.14
2010-11-02,29.34
2010-11-03,29.15
2010-11-04,30.04
2010-11-05,29.97
2010-11-08,30.01
2010-11-09,29.6
2010-11-10,30.2
2010-11-11,30.08
2010-11-12,29.85
2010-11-15,30.1
2010-11-16,29.82
2010-11-17,29.9
2010-11-18,30.14
2010-11-19,30.06
2010-11-22,30.14
2010-11-23,30.2
2010-11-24,30.56
2010-11-26,30.55
2010-11-29,30.22
2010-11-30,30.1
2010-12-01,30.23
2010-12-02,30.54
2010-12-03,30.35
2010-12-06,29.97
2010-12-07,29.69
2010-12-08,29.86
2010-12-09,29.83
2010-12-10,29.8
2010-12-13,29.78
2010-12-14,29.8
2010-12-15,29.52
2010-12-16,29.62
2010-12-17,29.55
2010-12-20,29.42
2010-12-21,29.47
2010-12-22,29.62
2010-12-23,29.49
2010-12-27,29.62
2010-12-28,29.57
2010-12-29,29.48
2010-12-30,29.44
2010-12-31,29.35
2011-01-03,29.5
2011-01-04,29.31
2011-01-05,29.36
2011-01-06,28.96
2011-01-07,28.74
2011-01-10,28.64
2011-01-11,29.16
2011-01-12,29.32
2011-01-13,29.2
2011-01-14,29.34
2011-01-18,29.38
2011-01-19,29.32
2011-01-20,29.31
2011-01-21,29.36
2011-01-24,29.78
2011-01-25,29.85
2011-01-26,29.83
2011-01-27,29.88
2011-01-28,29.27
2011-01-31,29.42
2011-02-01,29.74
2011-02-02,29.69
2011-02-03,29.96
2011-02-04,29.97
2011-02-07,30.18
2011-02-08,30.29
2011-02-09,30.42
2011-02-10,30.37
2011-02-11,30.75
2011-02-14,30.38
2011-02-15,29.92
2011-02-16,29.97
2011-02-17,29.87
2011-02-18,30.04
2011-02-22,29.27
2011-02-23,29.16
2011-02-24,29.19
2011-02-25,29.97
2011-02-28,30.17
2011-03-01,30.04
2011-03-02,29.91
2011-03-03,30.02
2011-03-04,29.88
2011-03-07,29.78
2011-03-08,30.15
2011-03-09,30.18
2011-03-10,29.79
2011-03-11,30.18
2011-03-14,30.4
2011-03-15,30.21
2011-03-16,30
2011-03-17,30.04
2011-03-18,30.32
2011-03-21,30.86
2011-03-22,30.92
2011-03-23,31.52
2011-03-24,31.67
2011-03-25,31.95
2011-03-28,31.69
2011-03-29,31.85
2011-03-30,32.63
2011-03-31,33.06
2011-04-01,33.51
2011-04-04,34.08
2011-04-05,34.06
2011-04-06,34.23
2011-04-07,34.27
2011-04-08,34.19
2011-04-11,34.23
2011-04-12,33.93
2011-04-13,34.17
2011-04-14,33.84
2011-04-15,33.98
2011-04-18,33.87
2011-04-19,33.49
2011-04-20,33.58
2011-04-21,33.87
2011-04-25,34.11
2011-04-26,33.97
2011-04-27,34.49
2011-04-28,34.68
2011-04-29,34.67
2011-05-02,34.2
2011-05-03,34.13
2011-05-04,34.11
2011-05-05,33.69
2011-05-06,33.91
2011-05-09,34.15
2011-05-10,34.17
2011-05-11,33.79
2011-05-12,34.84
2011-05-13,34.24
2011-05-16,34.55
2011-05-17,34.38
2011-05-18,34.49
2011-05-19,34.44
2011-05-20,34.48
2011-05-23,34.23
2011-05-24,33.67
2011-05-25,33.3
2011-05-26,33.51
2011-05-27,33.8
2011-05-31,33.73
2011-06-01,33.46
2011-06-02,33.87
2011-06-03,33.68
2011-06-06,33.55
2011-06-07,33.44
2011-06-08,33.27
2011-06-09,33.15
2011-06-10,32.68
2011-06-13,32.85
2011-06-14,33.16
2011-06-15,32.58
2011-06-16,32.79
2011-06-17,32.55
2011-06-20,32.75
2011-06-21,32.72
2011-06-22,32.53
2011-06-23,32.31
2011-06-24,31.99
2011-06-27,32.64
2011-06-28,32.27
2011-06-29,32.3
2011-06-30,31.92
2011-07-01,32.56
2011-07-05,32.36
2011-07-06,32.64
2011-07-07,33.06
2011-07-08,33.04
2011-07-11,32.66
2011-07-12,32.97
2011-07-13,33.34
2011-07-14,32.83
2011-07-15,32.65
2011-07-18,32.32
2011-07-19,32.42
2011-07-20,32.27
2011-07-21,32.73
2011-07-22,32.72
2011-07-25,33.1
2011-07-26,34.54
2011-07-27,34.17
2011-07-28,33.83
2011-07-29,33.8
2011-08-01,33.48
2011-08-02,32.89
2011-08-03,33.1
2011-08-04,32.72
2011-08-05,32.69
2011-08-08,30.2
2011-08-09,32.24
2011-08-10,31.27
2011-08-11,32.93
2011-08-12,32.88
2011-08-15,34.05
2011-08-16,33.53
2011-08-17,33.95
2011-08-18,32.94
2011-08-19,32.37
2011-08-22,32.37
2011-08-23,32.56
2011-08-24,32.58
2011-08-25,32.05
2011-08-26,32.66
2011-08-29,33.98
2011-08-30,33.51
2011-08-31,33.68
2011-09-01,33.94
2011-09-02,33.03
2011-09-06,32.7
2011-09-07,33.6
2011-09-08,33.17
2011-09-09,32.4
2011-09-12,32.64
2011-09-13,33
2011-09-14,33.26
2011-09-15,33.49
2011-09-16,33.65
2011-09-19,32.85
2011-09-20,32.98
2011-09-21,31.87
2011-09-22,31.48
2011-09-23,31.59
2011-09-26,32.02
2011-09-27,32.14
2011-09-28,31.54
2011-09-29,32.54
2011-09-30,32.68
2011-10-03,31.93
2011-10-04,32.95
2011-10-05,33.15
2011-10-06,33.2
2011-10-07,32.46
2011-10-10,33.27
2011-10-11,32.79
2011-10-12,32.91
2011-10-13,33.03
2011-10-14,33.53
2011-10-17,33.31
2011-10-18,33.61
2011-10-19,34.06
2011-10-20,34.98
2011-10-21,36.07
2011-10-24,36.42
2011-10-25,35.91
2011-10-26,36.14
2011-10-27,36.67
2011-10-28,36.54
2011-10-31,35.97
2011-11-01,34.9
2011-11-02,35.86
2011-11-03,35.88
2011-11-04,36
2011-11-07,36.08
2011-11-08,36.6
2011-11-09,35.99
2011-11-10,35.77
2011-11-11,36.74
2011-11-14,36.72
2011-11-15,36.77
2011-11-16,36.51
2011-11-17,35.94
2011-11-18,36.45
2011-11-21,36.01
2011-11-22,35.79
2011-11-23,34.86
2011-11-25,36.22
2011-11-28,36.56
2011-11-29,36.89
2011-11-30,37.77
2011-12-01,37.48
2011-12-02,37.29
2011-12-05,37.3
2011-12-06,37.51
2011-12-07,37.42
2011-12-08,36.94
2011-12-09,37.41
2011-12-12,36.8
2011-12-13,36.36
2011-12-14,36.43
2011-12-15,36.64
2011-12-16,36.98
2011-12-19,36.48
2011-12-20,36.69
2011-12-21,37.02
2011-12-22,36.9
2011-12-23,37.5
2011-12-27,37.65
2011-12-28,37.16
2011-12-29,37.32
2011-12-30,37.23
2012-01-03,37.48
