"Index","ASFI.Close"
2012-05-17,8.72
2012-05-18,8.73
2012-05-21,8.78
2012-05-22,9.02
2012-05-23,8.98
2012-05-24,8.88
2012-05-25,8.96
2012-05-29,8.93
2012-05-30,8.9
2012-05-31,8.76
2012-06-01,8.87
2012-06-04,8.83
2012-06-05,8.74
2012-06-06,8.57
2012-06-07,8.78
2012-06-08,8.85
2012-06-11,8.47
2012-06-12,8.33
2012-06-13,8.52
2012-06-14,8.61
2012-06-15,8.8
2012-06-18,8.99
2012-06-19,9.02
2012-06-20,9.12
2012-06-21,9.09
2012-06-22,8.86
2012-06-25,9.09
2012-06-26,9.06
2012-06-27,9.16
2012-06-28,9.14
2012-06-29,9.37
2012-07-02,9.51
2012-07-03,9.42
2012-07-05,9.38
2012-07-06,9.37
2012-07-09,9.39
