"Index","ATMI.Close"
2011-02-16,18.34
2011-02-17,18.31
2011-02-18,18.21
2011-02-22,18.04
2011-02-23,17.85
2011-02-24,18
2011-02-25,18.4
2011-02-28,18.24
2011-03-01,18.06
2011-03-02,18.11
2011-03-03,18.44
2011-03-04,18.57
2011-03-07,18.57
2011-03-08,18.91
2011-03-09,18.61
2011-03-10,17.99
2011-03-11,18.03
2011-03-14,18.01
2011-03-15,17.8
2011-03-16,17.1
2011-03-17,17.03
2011-03-18,17.26
2011-03-21,17.43
2011-03-22,17.71
2011-03-23,17.97
2011-03-24,18.16
2011-03-25,18.29
2011-03-28,18.19
2011-03-29,18.46
2011-03-30,18.44
2011-03-31,18.89
2011-04-01,18.44
2011-04-04,18.38
2011-04-05,18.41
2011-04-06,18.62
2011-04-07,18.34
2011-04-08,18.11
2011-04-11,17.77
2011-04-12,17.56
2011-04-13,17.51
2011-04-14,17.78
2011-04-15,17.92
2011-04-18,17.71
2011-04-19,17.75
2011-04-20,19.27
2011-04-21,20
2011-04-25,19.77
2011-04-26,20.02
2011-04-27,19.99
2011-04-28,20.02
2011-04-29,19.91
2011-05-02,20.01
2011-05-03,19.77
2011-05-04,19.8
2011-05-05,19.85
2011-05-06,19.65
2011-05-09,19.81
2011-05-10,20.19
2011-05-11,19.54
2011-05-12,19.99
2011-05-13,19.7
2011-05-16,19.51
2011-05-17,19.12
2011-05-18,19.69
2011-05-19,19.56
2011-05-20,19.44
2011-05-23,19
2011-05-24,18.75
2011-05-25,18.88
2011-05-26,19
2011-05-27,19
2011-05-31,19.19
2011-06-01,18.47
2011-06-02,18.97
2011-06-03,18.97
2011-06-06,18.93
2011-06-07,19.08
2011-06-08,18.69
2011-06-09,18.75
2011-06-10,18.32
2011-06-13,18.28
2011-06-14,18.81
2011-06-15,18.38
2011-06-16,18.44
2011-06-17,18.44
2011-06-20,18.69
2011-06-21,19.04
2011-06-22,18.98
2011-06-23,19.49
2011-06-24,19.11
2011-06-27,19.35
2011-06-28,19.53
2011-06-29,19.86
2011-06-30,20.43
2011-07-01,20.84
2011-07-05,21.08
2011-07-06,20.18
2011-07-07,20.45
2011-07-08,20.19
2011-07-11,20.07
2011-07-12,18.81
2011-07-13,18.87
2011-07-14,18.57
2011-07-15,18.68
2011-07-18,18.51
2011-07-19,19.63
2011-07-20,19.36
2011-07-21,19.43
2011-07-22,19.61
2011-07-25,19.57
2011-07-26,19.6
2011-07-27,19.01
2011-07-28,18.94
2011-07-29,18.65
2011-08-01,18.98
2011-08-02,18.47
2011-08-03,18.59
2011-08-04,17.44
2011-08-05,17.19
2011-08-08,16.01
2011-08-09,17.44
2011-08-10,16.79
2011-08-11,17.31
2011-08-12,17.2
2011-08-15,17.4
2011-08-16,17
2011-08-17,17.53
2011-08-18,16.33
2011-08-19,15.89
2011-08-22,16.2
2011-08-23,17.32
2011-08-24,17.39
2011-08-25,16.46
2011-08-26,16.92
2011-08-29,17.39
2011-08-30,17.19
2011-08-31,17.13
2011-09-01,16.63
2011-09-02,16.26
2011-09-06,16.28
2011-09-07,16.94
2011-09-08,16.52
2011-09-09,16.41
2011-09-12,16.56
2011-09-13,16.97
2011-09-14,17.35
2011-09-15,17.67
2011-09-16,17.87
2011-09-19,17.35
2011-09-20,17.13
2011-09-21,16.62
2011-09-22,16.31
2011-09-23,16.31
2011-09-26,16.66
2011-09-27,17.19
2011-09-28,16.2
2011-09-29,16.44
2011-09-30,15.82
2011-10-03,15.28
2011-10-04,17.76
2011-10-05,17.84
2011-10-06,17.95
2011-10-07,17.85
2011-10-10,18.25
2011-10-11,18.23
2011-10-12,18.71
2011-10-13,18.75
2011-10-14,18.6
2011-10-17,17.93
2011-10-18,18.47
2011-10-19,19.32
2011-10-20,19.52
2011-10-21,19.57
2011-10-24,19.97
2011-10-25,19.8
2011-10-26,19.87
2011-10-27,21.23
2011-10-28,21.01
