"Index","CM.Close"
2012-09-06,0.01315
2012-09-07,0.00493
2012-09-10,-0.00227
2012-09-11,0.00303
2012-09-12,-0.00404
2012-09-13,0.00731
2012-09-14,-0.00302
2012-09-17,-0.00101
2012-09-18,0.00013
2012-09-19,0.00365
2012-09-20,0
2012-09-21,-0.00378
2012-09-24,0.00441
2012-09-25,-0.00327
2012-09-26,-0.02024
2012-09-27,0.01303
2012-09-28,-0.00752
2012-10-01,0.00115
2012-10-02,0.00242
2012-10-03,-0.00447
2012-10-04,0.00917
2012-10-05,0.00139
2012-10-08,-0.00139
2012-10-09,-0.00013
2012-10-10,-0.0047
2012-10-11,0.00064
2012-10-12,-0.0046
2012-10-15,0.00141
2012-10-16,0.00089
2012-10-17,0.01483
2012-10-18,-0.00353
2012-10-19,-0.00862
2012-10-22,0.00064
2012-10-23,-0.00972
2012-10-24,-0.00064
2012-10-25,0.00985
2012-10-26,-0.0037
2012-10-31,0.00408
2012-11-01,0.00975
2012-11-02,0.00189
2012-11-05,-5e-04
2012-11-06,0.0059
2012-11-07,-0.01145
2012-11-08,-0.01018
2012-11-09,0
2012-11-12,0.00383
2012-11-13,-0.00754
2012-11-14,-0.00941
2012-11-15,-0.00924
2012-11-16,0.00794
2012-11-19,0.01301
2012-11-20,0.00345
2012-11-21,0.00788
2012-11-23,0.0198
2012-11-26,-0.00074
2012-11-27,-0.0061
2012-11-28,0.00461
2012-11-29,0.00645
2012-11-30,-0.00371
2012-12-03,-0.00211
2012-12-04,0.00496
2012-12-05,0.00432
2012-12-06,-0.00407
2012-12-07,-0.00025
2012-12-10,0.00985
2012-12-11,0.00732
2012-12-12,0.00425
2012-12-13,0.0029
2012-12-14,-0.00484
2012-12-17,0.00351
2012-12-18,0.00326
2012-12-19,0.00325
2012-12-20,0.00156
2012-12-21,-0.00421
2012-12-24,-6e-04
2012-12-26,-0.01517
2012-12-27,-0.00417
2012-12-28,-0.00764
2012-12-31,-0.00223
2013-01-02,0.0084
2013-01-03,0.00564
2013-01-04,0.00573
2013-01-07,0.00024
2013-01-08,-0.00292
