"Index","WBNK.Close"
2011-12-14,0.19
2011-12-15,0.16
2011-12-16,0.13
2011-12-19,0.13
2011-12-20,0.13
2011-12-21,0.14
2011-12-22,0.27
2011-12-23,0.27
2011-12-27,0.21
2011-12-28,0.22
2011-12-29,0.23
2011-12-30,0.21
2012-01-03,0.21
2012-01-04,0.22
2012-01-05,0.22
2012-01-06,0.21
2012-01-09,0.21
2012-01-10,0.21
2012-01-11,0.2
2012-01-12,0.2
2012-01-13,0.21
2012-01-17,0.22
2012-01-18,0.22
2012-01-20,0.22
2012-01-24,0.22
2012-01-25,0.21
2012-01-27,0.2
2012-01-30,0.18
2012-02-01,0.18
2012-02-02,0.18
2012-02-03,0.2
2012-02-06,0.19
