"Index","NVG.Close"
2011-09-21,14.3
2011-09-22,14.36
2011-09-23,14.44
2011-09-26,14.37
2011-09-27,14.35
2011-09-28,14.32
2011-09-29,14.37
2011-09-30,14.39
2011-10-03,14.47
2011-10-04,14.27
2011-10-05,14.26
2011-10-06,14.26
2011-10-07,14.14
2011-10-10,14.38
2011-10-11,14.29
2011-10-12,13.97
2011-10-13,14.01
2011-10-14,14.25
2011-10-17,14.22
2011-10-18,14.23
2011-10-19,14.23
2011-10-20,14.26
2011-10-21,14.35
2011-10-24,14.27
2011-10-25,14.24
2011-10-26,14.27
2011-10-27,14.27
2011-10-28,14.27
2011-10-31,14.32
2011-11-01,14.33
2011-11-02,14.32
2011-11-03,14.33
2011-11-04,14.42
2011-11-07,14.47
2011-11-08,14.56
2011-11-09,14.51
2011-11-10,14.53
2011-11-11,14.55
2011-11-14,14.56
2011-11-15,14.58
2011-11-16,14.59
2011-11-17,14.61
2011-11-18,14.64
2011-11-21,14.63
2011-11-22,14.68
2011-11-23,14.71
2011-11-25,14.71
2011-11-28,14.68
2011-11-29,14.57
2011-11-30,14.66
2011-12-01,14.71
2011-12-02,14.71
2011-12-05,14.73
2011-12-06,14.81
2011-12-07,14.87
2011-12-08,14.54
2011-12-09,14.69
2011-12-12,14.69
2011-12-13,14.57
2011-12-14,14.7
2011-12-15,14.59
2011-12-16,14.73
2011-12-19,14.74
2011-12-20,14.84
2011-12-21,14.91
2011-12-22,14.94
2011-12-23,14.97
2011-12-27,15.04
2011-12-28,14.97
2011-12-29,15
2011-12-30,15.05
2012-01-03,15.1
2012-01-04,14.88
