"Index","VIV.Close"
2013-04-30,0.00831
2013-05-01,-0.00151
2013-05-02,0.00489
2013-05-03,0.00524
2013-05-06,-0.00261
2013-05-07,-0.01811
2013-05-08,0.01249
2013-05-09,-0.01745
2013-05-10,-0.0023
2013-05-13,0.01636
2013-05-14,0.00377
2013-05-15,0.00935
2013-05-16,-0.01199
2013-05-17,-0.00038
2013-05-20,0.00226
2013-05-21,-0.00188
2013-05-22,-0.00415
2013-05-23,0.00453
2013-05-24,0.00863
2013-05-28,-0.00637
2013-05-29,-0.04223
2013-05-30,-0.00708
2013-05-31,-0.02439
2013-06-03,0.01526
2013-06-04,0.00952
2013-06-05,-0.00277
2013-06-06,0.0071
2013-06-07,-0.01865
2013-06-10,0.01431
2013-06-11,-0.02965
2013-06-12,-0.01723
2013-06-13,0.01519
2013-06-14,-0.00572
2013-06-17,-0.01113
2013-06-18,0.00166
2013-06-19,-0.02344
2013-06-20,-0.07063
2013-06-21,-0.01189
2013-06-24,0.00733
2013-06-25,0.02257
2013-06-26,0.00977
2013-06-27,0.02013
2013-06-28,-0.01133
2013-07-01,-0.00615
2013-07-02,-0.03591
2013-07-03,-0.00964
2013-07-05,-0.01769
2013-07-08,0.00888
2013-07-09,0.00696
2013-07-10,-0.03338
2013-07-11,0.01518
2013-07-12,-0.01662
2013-07-15,0.02459
2013-07-16,0.01207
2013-07-17,-0.00092
2013-07-18,0.00046
2013-07-19,0.00415
2013-07-22,0.02408
2013-07-23,0.0076
2013-07-24,-0.02846
2013-07-25,0.00366
2013-07-26,0.02034
2013-07-29,-0.01988
2013-07-30,0.00182
2013-07-31,-0.02211
2013-08-01,-0.00795
2013-08-02,0.01676
2013-08-05,-0.00556
2013-08-06,-0.01497
2013-08-07,-0.00236
2013-08-08,0.02795
2013-08-09,0.00092
2013-08-12,0.00458
2013-08-13,-0.01149
2013-08-14,-0.00835
2013-08-15,-0.00889
2013-08-16,-0.02668
2013-08-19,-0.02493
2013-08-20,-0.00596
2013-08-21,-0.01455
2013-08-22,0.00252
2013-08-23,0.01749
2013-08-26,-0.02558
2013-08-27,0.00254
2013-08-28,0.00556
2013-08-29,0.00302
2013-08-30,-0.00858
2013-09-03,0.00051
2013-09-04,0.03338
2013-09-05,0.02802
2013-09-06,0.02168
2013-09-09,0.03707
2013-09-10,0.00314
2013-09-11,-0.00045
2013-09-12,-0.01444
2013-09-13,0.01265
2013-09-16,0.00582
2013-09-17,0.0049
2013-09-18,0.01848
2013-09-19,0.00392
2013-09-20,-0.01796
2013-09-23,-0.0031
2013-09-24,0.04127
2013-09-25,-0.0364
2013-09-26,0
2013-09-27,-0.01467
2013-09-30,0.00491
2013-10-01,0.00578
2013-10-02,-0.00801
2013-10-03,-0.00134
2013-10-04,-0.02262
2013-10-07,-0.018
2013-10-08,-0.01833
2013-10-09,0.03129
2013-10-10,0.02273
2013-10-11,0.01914
2013-10-14,-0.01645
2013-10-15,-0.0268
2013-10-16,0.0196
2013-10-17,0.00271
2013-10-18,-0.00814
2013-10-21,0.0396
2013-10-22,0.00087
2013-10-23,-0.00876
2013-10-24,0.00176
2013-10-25,-0.00838
2013-10-28,-0.00044
2013-10-29,0.00221
2013-10-30,0.00792
2013-10-31,-0.02801
2013-11-01,-0.04283
2013-11-04,0.00469
2013-11-05,-0.02947
2013-11-06,-0.00726
2013-11-07,-0.04573
2013-11-08,0.0071
2013-11-11,0
2013-11-12,-0.03077
2013-11-13,0.01088
2013-11-14,0.00052
2013-11-15,0.01177
2013-11-18,0.0076
2013-11-19,-0.01783
2013-11-20,-0.00878
2013-11-21,0.00672
2013-11-22,0.00719
2013-11-25,-0.00307
2013-11-26,-0.00566
2013-11-27,-0.00933
2013-11-29,0.01345
2013-12-02,-0.04897
2013-12-03,-0.01742
2013-12-04,0.01904
2013-12-05,-0.00216
2013-12-06,0.03293
2013-12-09,-0.01421
2013-12-10,-0.00852
2013-12-11,-0.02874
2013-12-12,-0.00441
2013-12-13,-0.00888
2013-12-16,0.03828
2013-12-17,-0.00592
2013-12-18,-0.00758
2013-12-19,0.00434
2013-12-20,-0.00652
2013-12-23,0.02635
2013-12-24,-0.01282
2013-12-26,0.00215
2013-12-27,0.01491
2013-12-30,0.01573
2013-12-31,0
2014-01-02,-0.03279
2014-01-03,0.03279
2014-01-06,-0.01046
2014-01-07,0.02184
2014-01-08,-0.00619
2014-01-09,-0.00311
2014-01-10,0.02715
2014-01-13,-0.01784
2014-01-14,0.02188
2014-01-15,0.00802
2014-01-16,0.00349
2014-01-17,-0.01101
2014-01-21,-0.00353
2014-01-22,0.02049
2014-01-23,-0.00794
2014-01-24,-0.02831
2014-01-27,-0.02545
2014-01-28,0.00263
2014-01-29,-0.03361
2014-01-30,0.03204
2014-01-31,-0.00158
2014-02-03,-0.02505
2014-02-04,0.00538
2014-02-05,0.00855
2014-02-06,-0.00855
2014-02-07,0.01914
2014-02-10,-0.00158
2014-02-11,0.0131
2014-02-12,-0.00731
2014-02-13,-0.00631
2014-02-14,0.00893
2014-02-18,-0.05427
2014-02-19,-0.00776
2014-02-20,0.00278
2014-02-21,0.00994
2014-02-24,0.0022
2014-02-25,-0.0044
2014-02-26,0.02233
2014-02-27,0.01973
2014-02-28,-0.01543
2014-03-03,-0.0097
2014-03-04,0.02776
2014-03-05,-0.00475
2014-03-06,0.01783
2014-03-07,-0.00156
2014-03-10,0.00104
2014-03-11,-0.00104
2014-03-12,-0.02264
2014-03-13,-0.01071
2014-03-14,-0.0054
2014-03-17,0.00324
2014-03-18,0.03342
2014-03-19,-0.0068
2014-03-20,0.03611
2014-03-21,0.00505
2014-03-24,5e-04
2014-03-25,0.00803
2014-03-26,0.00399
2014-03-27,0.04144
2014-03-28,0.00524
2014-03-31,0.00899
2014-04-01,-0.01709
2014-04-02,-0.00576
2014-04-03,-0.0229
