"Index","AMOT.Close"
2012-02-22,7.18
2012-02-23,7.18
2012-02-24,7.13
2012-02-27,7.24
2012-02-28,7.12
2012-02-29,7.15
2012-03-01,7.17
2012-03-02,7.13
2012-03-05,7.3
2012-03-06,7.29
2012-03-07,7.15
2012-03-08,7.55
2012-03-09,7.65
2012-03-12,7.75
2012-03-13,7.7
2012-03-14,7.51
2012-03-15,7.6
2012-03-16,7.87
2012-03-19,7.28
2012-03-20,7.25
2012-03-21,7.14
2012-03-22,7.3
2012-03-23,7.11
2012-03-26,7.5
2012-03-27,7.26
2012-03-28,7.34
2012-03-29,7.25
2012-03-30,7.25
2012-04-02,7.03
2012-04-03,7.37
2012-04-04,7.28
2012-04-05,7.25
2012-04-09,7.55
2012-04-10,7.45
2012-04-11,7.62
2012-04-12,7.3
2012-04-13,7.6
2012-04-16,7.5
2012-04-17,7.73
2012-04-18,7.55
2012-04-19,7.66
2012-04-20,8
2012-04-23,8
2012-04-24,8
2012-04-25,7.99
2012-04-26,8.04
2012-04-27,8.04
2012-04-30,8.03
2012-05-01,8.08
2012-05-02,8.02
2012-05-03,8.05
2012-05-04,7.99
2012-05-07,8.07
2012-05-08,8
2012-05-09,8.09
2012-05-10,8
2012-05-11,6.25
2012-05-14,6.19
2012-05-15,6.26
2012-05-16,6.24
2012-05-17,6.18
2012-05-18,6.27
2012-05-21,6.07
2012-05-22,6.08
2012-05-23,6.01
2012-05-24,6.09
2012-05-25,5.99
2012-05-29,5.8
2012-05-30,5.76
2012-05-31,5.77
2012-06-01,5.79
2012-06-04,5.76
2012-06-05,5.9
2012-06-06,5.9
2012-06-07,5.99
2012-06-08,5.88
2012-06-11,5.99
2012-06-12,6.04
2012-06-13,6.04
2012-06-14,6.1
2012-06-15,6.06
2012-06-18,6.2
2012-06-19,6.14
2012-06-20,6.18
2012-06-21,5.87
2012-06-22,5.95
2012-06-25,6.06
2012-06-26,6
2012-06-27,5.98
2012-06-28,6
2012-06-29,6
2012-07-02,6
2012-07-03,5.99
2012-07-05,6.01
2012-07-06,5.96
2012-07-09,6
2012-07-10,6.06
2012-07-11,5.96
2012-07-12,5.95
2012-07-13,6
2012-07-16,6
2012-07-17,6
2012-07-18,6.01
2012-07-19,6
2012-07-20,6
2012-07-23,6
2012-07-24,5.99
2012-07-25,5.91
2012-07-26,5.9
2012-07-27,5.8
2012-07-30,5.79
2012-07-31,5.9
2012-08-01,5.75
2012-08-02,5.95
2012-08-03,5.9
2012-08-06,6
2012-08-07,6.1
2012-08-08,6.01
2012-08-09,6.19
2012-08-10,6.1
2012-08-13,6.1
2012-08-14,6.1
2012-08-15,6.1
2012-08-16,6.2
2012-08-17,6.2
2012-08-20,6.06
2012-08-21,6.08
2012-08-22,6.08
2012-08-23,6.1
2012-08-24,6
2012-08-27,6
2012-08-28,6.1
2012-08-29,6.11
2012-08-30,6.09
2012-08-31,6.02
2012-09-04,6.15
2012-09-05,6.11
2012-09-06,6.12
2012-09-07,6.2
2012-09-10,6.21
2012-09-11,6.25
2012-09-12,6.25
2012-09-13,6.3
2012-09-14,6.32
2012-09-17,6.25
2012-09-18,6.35
2012-09-19,6.5
2012-09-20,6.37
2012-09-21,6.79
2012-09-24,6.44
2012-09-25,6.35
2012-09-26,6.39
2012-09-27,6.6
2012-09-28,6.6
2012-10-01,6.53
2012-10-02,6.55
2012-10-03,6.71
2012-10-04,6.49
2012-10-05,6.45
2012-10-08,6.4
2012-10-09,6.63
2012-10-10,6.55
2012-10-11,6.63
2012-10-12,6.63
2012-10-15,6.31
2012-10-16,6.63
2012-10-17,6.63
2012-10-18,6.55
2012-10-19,6.6
2012-10-22,6.5
2012-10-23,6.5
2012-10-24,6.6
2012-10-25,6.5
2012-10-26,6.52
2012-10-31,6.47
2012-11-01,6.4
2012-11-02,6.5
2012-11-05,6.62
2012-11-06,6.71
2012-11-07,6.5
2012-11-08,6.5
2012-11-09,6.28
2012-11-12,6.5
2012-11-13,6.4
2012-11-14,6.5
2012-11-15,6.45
2012-11-16,6.5
2012-11-19,6.5
2012-11-20,6.51
2012-11-21,6.5
2012-11-23,6.5
2012-11-26,6.5
2012-11-27,6.4
2012-11-28,6.67
2012-11-29,6.61
2012-11-30,6.63
2012-12-03,6.57
2012-12-04,6.53
2012-12-05,6.55
2012-12-06,6.56
2012-12-07,6.49
2012-12-10,6.5
2012-12-11,6.5
2012-12-12,6.59
2012-12-13,6.55
2012-12-14,6.62
2012-12-17,6.5
2012-12-18,6.5
2012-12-19,6.54
2012-12-20,6.54
2012-12-21,6.58
2012-12-26,6.6
2012-12-27,6.51
2012-12-28,6.54
2012-12-31,6.6
2013-01-02,6.7
2013-01-03,6.75
2013-01-04,6.68
2013-01-07,6.69
2013-01-08,6.68
2013-01-09,6.74
2013-01-10,6.7
2013-01-11,6.7
2013-01-14,6.61
2013-01-15,6.8
